Time,turbineStress.stress.inStress,turbineStress.stress.outStress,simpleGenerator.summary.P_el,GW_CWS1_Valve_Ramp_Cold_HT_out3.y
1850.0,1.2443368e-12,0.0,620048300.0,0.02
1850.0,1.2443368e-12,0.0,620048300.0,0.02
1860.0,1.2443358e-12,0.0,620055230.0,0.02
1860.0,1.2443358e-12,0.0,620055230.0,0.02
1870.0,4.147783e-13,0.0,620061950.0,0.02
1870.0,4.147783e-13,0.0,620061950.0,0.02
1880.0,8.29556e-13,0.0,620068500.0,0.02
1880.0,8.29556e-13,0.0,620068500.0,0.02
1890.0,0.0,0.0,620074800.0,0.02
1890.0,0.0,0.0,620074800.0,0.02
1900.0,4.1477742e-13,0.0,620080900.0,0.02
1900.0,4.1477742e-13,0.0,620080900.0,0.02
1910.0,0.0,0.0,620086850.0,0.02
1910.0,0.0,0.0,620086850.0,0.02
1920.0,0.0,0.0,620092540.0,0.02
1920.0,0.0,0.0,620092540.0,0.02
1930.0,4.1477664e-13,0.0,620098050.0,0.02
1930.0,4.1477664e-13,0.0,620098050.0,0.02
1940.0,1.2443292e-12,0.0,620103500.0,0.02
1940.0,1.2443292e-12,0.0,620103500.0,0.02
1950.0,0.0,0.0,620108800.0,0.02
1950.0,0.0,0.0,620108800.0,0.02
1960.0,4.1477593e-13,0.0,620113900.0,0.02
1960.0,4.1477593e-13,0.0,620113900.0,0.02
1970.0,4.147757e-13,0.0,620118900.0,0.02
1970.0,4.147757e-13,0.0,620118900.0,0.02
1980.0,4.1477547e-13,0.0,620123700.0,0.02
1980.0,4.1477547e-13,0.0,620123700.0,0.02
1990.0,8.295505e-13,0.0,620128300.0,0.02
1990.0,8.295505e-13,0.0,620128300.0,0.02
2000.0,0.0,0.0,620132860.0,0.02
2000.0,0.0,0.0,620132860.0,0.02
2010.0,0.0005696873,0.020226836,620137200.0,0.02
2010.0,0.0011019156,0.019773368,620137200.0,0.02
2020.0,0.0016509185,0.039266225,620141400.0,0.02
2020.0,0.0026632932,0.03838824,620141400.0,0.02
2030.0,0.003183622,0.056863375,620145340.0,0.02
2030.0,0.0046218084,0.05559538,620145340.0,0.02
2040.0,0.005140731,0.07402095,620149300.0,0.02
2040.0,0.006980811,0.07237477,620149300.0,0.02
2050.0,0.0074501582,0.089040354,620152960.0,0.02
2050.0,0.009625902,0.08706582,620152960.0,0.02
2060.0,0.010090039,0.10354666,620156500.0,0.02
2060.0,0.012581737,0.101256914,620156500.0,0.02
2070.0,0.013045866,0.117737755,620160060.0,0.02
2070.0,0.015840508,0.11514143,620160060.0,0.02
2080.0,0.01630463,0.13162227,620163650.0,0.02
2080.0,0.019390494,0.12872773,620163650.0,0.02
2090.0,0.019780314,0.14257032,620166660.0,0.02
2090.0,0.02307735,0.13944486,620166660.0,0.02
2100.0,0.023449624,0.15266456,620169540.0,0.02
2100.0,0.026936019,0.1493284,620169540.0,0.02
2110.0,0.027308289,0.1625481,620172400.0,0.02
2110.0,0.030979894,0.15900695,620172400.0,0.02
2120.0,0.03135216,0.17222665,620175300.0,0.02
2120.0,0.035204932,0.16848607,620175300.0,0.02
2130.0,0.035577193,0.18170577,620178100.0,0.02
2130.0,0.039607186,0.17777114,620178100.0,0.02
2140.0,0.039979443,0.19099084,620181000.0,0.02
2140.0,0.04418279,0.1868674,620181000.0,0.02
2150.0,0.044555042,0.2000871,620183900.0,0.02
2150.0,0.048927948,0.19577993,620183900.0,0.02
2160.0,0.049300198,0.20899962,620186750.0,0.02
2160.0,0.05383893,0.20451367,620186750.0,0.02
2170.0,0.054165136,0.21609825,620189300.0,0.02
2170.0,0.05882302,0.21147496,620189300.0,0.02
2180.0,0.05912064,0.22204454,620191550.0,0.02
2180.0,0.06387002,0.21731032,620191550.0,0.02
2190.0,0.06416763,0.22787991,620193860.0,0.02
2190.0,0.06900892,0.22303768,620193860.0,0.02
2200.0,0.06930653,0.23360726,620196160.0,0.02
2200.0,0.074239716,0.22865985,620196160.0,0.02
2210.0,0.07453732,0.23922943,620198460.0,0.02
2210.0,0.07956204,0.23417962,620198460.0,0.02
2220.0,0.07985965,0.2447492,620200770.0,0.02
2220.0,0.084975235,0.23959966,620200770.0,0.02
2230.0,0.08527284,0.25016925,620203100.0,0.02
2230.0,0.09047839,0.24492258,620203100.0,0.02
2240.0,0.090776,0.25549215,620205400.0,0.02
2240.0,0.0960704,0.2501509,620205400.0,0.02
2250.0,0.09634274,0.25982332,620207400.0,0.02
2250.0,0.10170114,0.25441006,620207400.0,0.02
2260.0,0.101939306,0.2628687,620209300.0,0.02
2260.0,0.10732981,0.25741246,620209300.0,0.02
2270.0,0.10756797,0.2658711,620211100.0,0.02
2270.0,0.11299233,0.26037294,620211100.0,0.02
2280.0,0.1132305,0.26883158,620212900.0,0.02
2280.0,0.11868997,0.26329243,620212900.0,0.02
2290.0,0.11892813,0.27175108,620214800.0,0.02
2290.0,0.12442358,0.26617202,620214800.0,0.02
2300.0,0.12466174,0.27463067,620216600.0,0.02
2300.0,0.13019373,0.2690126,620216600.0,0.02
2310.0,0.13043188,0.27747124,620218430.0,0.02
2310.0,0.13600065,0.2718151,620218430.0,0.02
2320.0,0.1362388,0.28027374,620220300.0,0.02
2320.0,0.1418444,0.27458045,620220300.0,0.02
2330.0,0.14206427,0.28238958,620221950.0,0.02
2330.0,0.14768949,0.27667457,620221950.0,0.02
2340.0,0.14784916,0.2823457,620223170.0,0.02
2340.0,0.15343851,0.2766573,620223170.0,0.02
2350.0,0.15359817,0.28232846,620224400.0,0.02
2350.0,0.15915564,0.2766658,620224400.0,0.02
2360.0,0.1593153,0.28233695,620225600.0,0.02
2360.0,0.16484421,0.27669924,620225600.0,0.02
2370.0,0.16500388,0.2823704,620226900.0,0.02
